  ROEt    ATO     PM    LEV GROWTH      PB    ARR    INV  ASSET    ROE
 0.296  0.389  0.215  4.384  0.197   8.048  0.637  0.248 20.873  0.181
 0.665  0.335  0.407  2.273 -0.084   2.154 -1.217  0.030 21.062  0.899
-0.045  0.963  0.084 -5.339  4.155 -12.879 -0.598  0.096 21.474  1.504
-0.783  0.437 -0.096  1.016  2.231   3.836  0.056  0.051 19.746 -0.777
 1.053  0.858 -0.154 -2.066  0.519   1.972  0.293  0.032 22.570  0.728
 0.590  0.528  0.197 -0.946 -1.441   2.405 -0.986  0.189 20.890  1.141
-0.204  0.419  0.324  3.513  1.999   8.827  0.389 -0.060 21.965  0.568
-0.845  0.891  0.131  4.628  1.733   7.522 -0.471  0.145 20.377 -0.171
-0.065 -0.230  0.071  1.525 -2.436 -14.887  0.958  0.215 20.480  0.415
 1.001 -0.176  0.123 -0.891  2.257 -12.065 -0.336  0.065 20.455  0.699
-0.030  0.864  0.036  6.487 -0.084  11.436  0.474  0.159 21.702  1.103
-0.067  0.757  0.210  0.618 -1.873   3.037  0.567  0.083 19.686  0.590
 0.713 -0.359  0.376  5.269 -3.336  16.345  0.093  0.164 20.345  0.470
-0.690  0.592  0.197 -5.140 -0.778 -17.419  0.412  0.079 20.018 -0.131
 0.506  0.158  0.099  4.332 -0.061  10.149  2.559  0.010 22.367  0.800
 0.955  0.854  0.448 -0.275 -1.164  -1.218  0.430  0.150 20.955  1.276
 0.386  0.504  0.328 -2.377  0.477 -12.500  0.179  0.080 21.171  0.609
 0.058  0.339  0.343 -1.085 -0.071  -0.410  0.979  0.000 20.242  0.630
-0.278  1.052  0.291  0.899  2.812  -2.396  0.064  0.305 20.053  0.533
 0.039  0.604  0.015  9.026 -2.813  25.377  1.361 -0.064 20.553 -0.291
-0.687  0.374  0.130  0.508 -2.942  -2.397  0.513  0.204 20.287 -0.424
-0.755  0.144  0.385  3.285 -3.748  11.157 -0.955 -0.110 20.502 -0.038
 1.092  1.139  0.324 -0.915  1.960   3.832 -1.762  0.130 22.803  1.229
 0.536  0.006 -0.014  4.546  0.250  15.809  0.777  0.128 20.817  0.721
 0.833  0.384  0.502 -1.617  3.512  -3.780  0.991  0.022 20.558  0.740
 0.716  0.675  0.537 -1.141 -0.240  -3.385 -0.432 -0.007 20.059  1.195
-0.118  0.439  0.020  3.938  0.509  -1.061  0.883  0.292 21.405 -0.451
 1.121  0.427  0.146 -0.495 -2.445   7.916  0.406  0.080 21.577  0.838
 0.178  0.694  0.038  1.974 -0.980   0.419  0.950 -0.044 21.375  0.844
 0.882  0.637  0.294 -0.943  4.592  -2.060 -1.033 -0.029 21.725  1.295
-0.020  0.050  0.278  0.455  3.524  12.183  0.310  0.103 21.212  0.932
-0.714 -0.063  0.277  2.303  3.629  12.955 -1.161  0.137 22.021 -0.195
 0.304 -0.416  0.274 -0.123  0.389   5.805  0.333 -0.131 21.689  0.108
 0.497  1.158  0.218 -0.514 -0.891  -3.464 -0.485 -0.004 21.535  0.596
-0.041 -0.456  0.336  3.865  3.072  -2.731  1.173 -0.064 22.048 -0.236
-0.938 -0.241  0.185  6.460  1.403  16.821  0.918 -0.030 20.068  0.465
 1.091  0.675  0.259 -3.348  1.661  -9.223  1.848 -0.113 21.486  0.728
 0.029  0.496  0.273 -1.508 -2.442  -2.068  0.923  0.088 22.324  0.824
 1.421  0.521  0.101  0.937  2.555  -4.382  0.166 -0.053 23.240  1.463
 0.294  1.243  0.273 -0.132  0.538   4.653  1.264 -0.008 20.846  0.268
 0.203  1.039  0.111  0.309  0.465   9.643  0.554 -0.030 20.539  0.644
 0.820  0.756 -0.050  3.986  1.603   9.866  0.706 -0.027 22.497  1.939
 0.222  0.608 -0.166  4.743  4.452  11.640  0.831  0.214 18.961  0.523
-0.530  0.358  0.413 -2.131  1.039  -2.520 -0.106  0.029 19.974 -0.004
 0.565  0.322  0.583  0.611  0.557   3.069 -2.453  0.323 21.189  0.197
-0.821  0.310  0.332 -0.642  1.285  -5.434 -1.156  0.104 21.465  0.430
-1.225 -0.928  0.407 -0.416  2.195   2.557  0.438  0.085 21.036  5.285
 0.613  0.509  0.096  1.103 -2.236   4.538  0.019  0.154 22.191  0.826
-0.727  0.262  0.291  4.469  2.215  24.078  0.914  0.005 20.445  0.388
 0.288  0.461  0.519 -1.089  0.791  -0.883 -1.778  0.100 21.629  0.775
 0.480  0.251  0.383  2.328 -2.067  -1.360 -0.173  0.271 22.211  0.926
 0.047  1.206  0.371  2.692  0.896  13.042 -1.312  0.057 21.520  0.234
-0.097  0.275  0.214  4.323 -2.533   5.076 -0.769  0.133 21.978 -0.386
